Year,OSHPD_ID,Facility Name,County,Type of Ownership,Hospital Type,Teaching,Small/Rural,Licensed Beds,Available Beds,Staffed Beds,Pretax Net Income,Other Operating Rev,Total Operating Rev,Total Margin,Operating Margin,Location
2012,106424002,SANTA BARBARA COUNTY - PHF,Santa Barbara,City/County,Psychiatric Health Facilities,,,16,16,16,4253268,$0.00,$4253268.00,0%,0%,"SANTA BARBARA, California
(34.420867, -119.698342)"
2011,106334457,OASIS PHF,Riverside,Investor,Psychiatric Health Facilities,,,16,16,16,3332678,$0.00,$3332678.00,0%,0%,"INDIO, California
(33.718649, -116.218182)"
2010,106370782,UNIVERSITY OF CALIFORNIA-SAN DIEGO MED CENTER,SAN DIEGO,Non-Profit,Comparable,Teaching,,549,534,534,980169147,$55551305.00,$1035720452.00,5.4%,5.7%,"SAN DIEGO, California
(32.71576, -117.163817)"
2010,106560473,COMMUNITY MEMORIAL HOSPITAL OF SAN BUENAVENTURA,VENTURA,Non-Profit,Comparable,,,242,242,131,261170599,$4145224.00,$265315823.00,1.6%,1.6%,"VENTURA, California
(34.280832, -119.293107)"
2011,106370875,SHARP CHULA VISTA MEDICAL CENTER,San Diego,Non-Profit,Comparable,,,343,343,271,263005099,$2878695.00,$265883794.00,1.1%,1.1%,"CHULA VISTA, California
(32.640071, -117.084042)"
2011,106084001,SUTTER COAST HOSPITAL,Del Norte,Non-Profit,Comparable,,Rural,49,49,49,63891446,$737394.00,$64628840.00,1.1%,1.2%,"CRESCENT CITY, California
(41.754772, -124.204373)"
2010,106190630,POMONA VALLEY HOSPITAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,,,453,453,453,448322717,$2782289.00,$451105006.00,0.6%,0.6%,"POMONA, California
(34.055118, -117.750048)"
2012,106350784,HAZEL HAWKINS MEMORIAL HOSPITAL,San Benito,District,Comparable,,Rural,176,159,124,78714074,$3588948.00,$82303022.00,4.4%,4.6%,"HOLLISTER, California
(36.852513, -121.402063)"
2010,106314029,TELECARE PLACER COUNTY-PHF,PLACER,Investor,Psychiatric Health Facilities,,,16,16,16,2388282,$0.00,$2388282.00,0%,0%,"ROSEVILLE, California
(38.74806, -121.285202)"
2010,106191228,LAC/USC MEDICAL CENTER,LOS ANGELES,City/County,Comparable,Teaching,,712,653,590,932564747,$21181003.00,$953745750.00,2.2%,2.3%,"LOS ANGELES, California
(34.052238, -118.243344)"
2010,106341006,UNIVERSITY OF CALIFORNIA-DAVIS MED CENTER,SACRAMENTO,Non-Profit,Comparable,Teaching,,621,566,566,1159236358,$42609822.00,$1201846180.00,3.5%,3.7%,"SACRAMENTO, California
(38.582087, -121.50012)"
2010,106250955,SURPRISE VALLEY COMMUNITY HOSPITAL,MODOC,District,Comparable,,Small,26,26,26,3555953,$198252.00,$3754205.00,5.3%,5.6%,"CEDARVILLE, California
(41.529563, -120.171912)"
2011,106301155,COLLEGE HOSPITAL COSTA MESA,Orange,Investor,Comparable,,,122,118,102,36792866,$681744.00,$37474610.00,1.8%,1.9%,"COSTA MESA, California
(33.663857, -117.904765)"
2011,106190053,ST. MARY MEDICAL CENTER - LONG BEACH,Los Angeles,Non-Profit,Comparable,,,302,302,148,220706070,$7169667.00,$227875737.00,3.1%,3.2%,"LONG BEACH, California
(33.767168, -118.193723)"
2011,106370787,PROMISE HOSPITAL OF SAN DIEGO,San Diego,Investor,Comparable,,,100,100,80,42067510,$3712096.00,$45779606.00,8.1%,8.8%,"SAN DIEGO, California
(32.71576, -117.163817)"
2012,106301258,COASTAL COMMUNITIES HOSPITAL,Orange,Investor,Comparable,,,178,178,178,55847664,$140824.00,$55988488.00,0.3%,0.3%,"SANTA ANA, California
(33.749738, -117.869781)"
2012,106301140,CHAPMAN MEDICAL CENTER,Orange,Investor,Comparable,,,114,100,100,46177325,$227053.00,$46404378.00,0.5%,0.5%,"ORANGE, California
(33.791489, -117.853096)"
2011,106100717,COMMUNITY REGIONAL MEDICAL CENTER-FRESNO,Fresno,Non-Profit,Comparable,Teaching,,788,788,788,844856635,$16130557.00,$860987192.00,1.9%,1.9%,"FRESNO, California
(36.731654, -119.785856)"
2010,106504038,STANISLAUS SURGERY CENTER,STANISLAUS,Investor,Comparable,,,23,23,23,32815916,$399837.00,$33215753.00,1.2%,1.2%,"MODESTO, California
(37.640735, -121.002435)"
2010,106154101,BAKERSFIELD HEART HOSPITAL,KERN,Investor,Comparable,,,47,47,48,66599645,$399696.00,$66999341.00,0.6%,0.6%,"BAKERSFIELD, California
(35.373405, -119.018911)"
2011,106344017,SUTTER CENTER FOR PSYCHIATRY,Sacramento,Non-Profit,Comparable,,,69,63,63,23070442,$80635.00,$23151077.00,0.3%,0.3%,"SACRAMENTO, California
(38.582087, -121.50012)"
2012,106190857,DOCTORS HOSPITAL OF WEST COVINA,Los Angeles,Investor,Comparable,,,51,51,51,10134800,$651301.00,$10786101.00,6%,6.4%,"WEST COVINA, California
(34.068896, -117.938239)"
2012,106491076,SONOMA VALLEY HOSPITAL,Sonoma,District,Comparable,,,83,65,45,47033609,$214433.00,$47248042.00,0.5%,0.5%,"SONOMA, California
(38.291962, -122.458003)"
2010,106190522,GLENDALE MEMORIAL HOSPITAL & HEALTH CENTER,LOS ANGELES,Non-Profit,Comparable,,,334,321,159,215313301,$2347755.00,$217661056.00,1.1%,1.1%,"GLENDALE, California
(34.148138, -118.246437)"
2011,106371256,SCRIPPS GREEN HOSPITAL,San Diego,Non-Profit,Comparable,,,173,173,116,372499705,$8010810.00,$380510515.00,2.1%,2.2%,"LA JOLLA, California
(32.847198, -117.2733)"
2011,106250955,SURPRISE VALLEY COMMUNITY HOSPITAL,Modoc,District,Comparable,,Rural,26,26,26,3509483,$210141.00,$3719624.00,5.6%,6%,"CEDARVILLE, California
(41.529563, -120.171912)"
2010,106010887,KINDRED HOSPITAL-SAN FRANCISCO BAY AREA,ALAMEDA,Investor,Comparable,,,99,99,99,45338845,$90052.00,$45428897.00,0.2%,0.2%,"SAN LEANDRO, California
(37.728364, -122.158612)"
2010,106190462,LAS ENCINAS HOSPITAL,LOS ANGELES,Investor,Comparable,,,118,118,47,13816094,$443380.00,$14259474.00,3.1%,3.2%,"PASADENA, California
(34.14955, -118.141452)"
2010,106196404,JOYCE EISENBERG KEEFER MEDICAL CENTER,LOS ANGELES,Non-Profit,LTC Emphasis,,,249,245,245,27461124,$102488.00,$27563612.00,0.4%,0.4%,"RESEDA, California
(34.201099, -118.535599)"
2012,106190681,MIRACLE MILE MEDICAL CENTER,Los Angeles,Investor,Comparable,,,17,17,17,12808389,$0.00,$12808389.00,0%,0%,"LOS ANGELES, California
(34.052238, -118.243344)"
2011,106380964,CALIFORNIA PACIFIC MEDICAL CENTER-ST LUKES CAMPUS,San Francisco,Non-Profit,Comparable,,,228,166,166,97699556,$1141161.00,$98840717.00,1.2%,1.2%,"SAN FRANCISCO, California
(37.78008, -122.420168)"
2011,106190125,CALIFORNIA HOSPITAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,316,240,225,246409536,$16724838.00,$263134374.00,6.4%,6.8%,"LOS ANGELES, California
(34.052238, -118.243344)"
2010,106371256,SCRIPPS GREEN HOSPITAL,SAN DIEGO,Non-Profit,Comparable,,,173,172,161,364640685,$7624034.00,$372264719.00,2%,2.1%,"LA JOLLA, California
(32.847198, -117.2733)"
2011,106370705,FALLBROOK HOSPITAL DISTRICT,San Diego,District,Comparable,,Rural,146,146,146,43368097,$259772.00,$43627869.00,0.6%,0.6%,"FALLBROOK, California
(33.38206, -117.251355)"
2011,106301781,FAIRVIEW DEVELOPMENTAL CENTER,Orange,State,State Hospitals,,,1218,834,400,162496542,$0.00,$162496542.00,0%,0%,"COSTA MESA, California
(33.663857, -117.904765)"
2012,106370652,ALVARADO HOSPITAL,San Diego,Investor,Comparable,,,306,306,78,125187608,$3248697.00,$128436305.00,2.5%,2.6%,"SAN DIEGO, California
(32.71576, -117.163817)"
2011,106194981,LA CASA PHF,Los Angeles,Investor,Psychiatric Health Facilities,,,16,16,16,2636611,$0.00,$2636611.00,0%,0%,"LONG BEACH, California
(33.767168, -118.193723)"
2011,106410891,SEQUOIA HOSPITAL,San Mateo,Non-Profit,Comparable,,,301,153,153,228717773,$5063545.00,$233781318.00,2.2%,2.2%,"REDWOOD CITY, California
(37.484778, -122.22815)"
2010,106270777,GEORGE L. MEE MEMORIAL HOSPITAL,MONTEREY,Non-Profit,Comparable,,Small,119,119,119,60328400,$180334.00,$60508734.00,0.3%,0.3%,"KING CITY, California
(36.21432, -121.123656)"
2010,106210993,KENTFIELD REHABILITATION CENTER,MARIN,Investor,Comparable,,,60,60,52,37391611,$1243583.00,$38635194.00,3.2%,3.3%,"KENTFIELD, California
(37.956815, -122.549121)"
2011,106260011,MAMMOTH HOSPITAL,Mono,District,Comparable,,Rural,17,17,17,58245395,$155207.00,$58400602.00,0.3%,0.3%,"MAMMOTH LAKES, California
(37.64696, -118.967479)"
2012,106190315,GARFIELD MEDICAL CENTER,Los Angeles,Investor,Comparable,,,210,210,210,221582243,$4286003.00,$225868246.00,1.9%,1.9%,"MONTEREY PARK, California
(34.062407, -118.127542)"
2011,106070904,DOCTORS MEDICAL CENTER - SAN PABLO,Contra Costa,Investor,Comparable,,,189,189,69,110777096,$1189686.00,$111966782.00,1.1%,1.1%,"SAN PABLO, California
(37.960632, -122.34148)"
2010,106301188,WESTERN MEDICAL CENTER-ANAHEIM,ORANGE,Investor,Comparable,,,188,188,181,100217936,$114510.00,$100332446.00,0.1%,0.1%,"ANAHEIM, California
(33.834492, -117.915638)"
2011,106010937,ALTA BATES SUMMIT MEDICAL CENTER - SUMMIT HAWTHORNE,Alameda,Non-Profit,Comparable,,,509,402,195,400082205,$63937060.00,$464019265.00,13.8%,16%,"OAKLAND, California
(37.804828, -122.27248)"
2011,106370689,SHARP CORONADO HOSPITAL AND HEALTHCARE CENTER,San Diego,Non-Profit,Comparable,,,204,175,121,73969982,$2377618.00,$76347600.00,3.1%,3.2%,"CORONADO, California
(32.693926, -117.190481)"
2011,106100005,COMMUNITY MEDICAL CENTER - CLOVIS,Fresno,Non-Profit,Comparable,,,109,109,109,172756726,$2524001.00,$175280727.00,1.4%,1.5%,"CLOVIS, California
(36.823982, -119.696376)"
2011,106190812,VALLEY PRESBYTERIAN HOSPITAL,Los Angeles,Non-Profit,Comparable,,,350,350,350,244579303,$45502369.00,$290081672.00,15.7%,18.6%,"VAN NUYS, California
(34.186699, -118.448097)"
2012,106160787,CENTRAL VALLEY GENERAL HOSPITAL,Kings,Investor,Comparable,,,49,20,14,105056256,$-5519458.00,$99536798.00,-5.5%,-5.3%,"HANFORD, California
(36.327726, -119.645914)"
2011,106190462,AURORA LAS ENCINAS HOSPITAL,Los Angeles,Investor,Comparable,,,118,118,48,17362499,$64813.00,$17427312.00,0.4%,0.4%,"PASADENA, California
(34.14955, -118.141452)"
2011,106491001,PETALUMA VALLEY HOSPITAL,Sonoma,Non-Profit,Comparable,,,80,59,29,78909593,$961579.00,$79871172.00,1.2%,1.2%,"PETALUMA, California
(38.232474, -122.636846)"
2010,106190280,ENCINO MEDICAL CENTER,LOS ANGELES,Investor,Comparable,,,150,150,150,51112305,$362683.00,$51474988.00,0.7%,0.7%,"ENCINO, California
(34.159199, -118.500298)"
2010,106301380,KINDRED HOSPITAL-WESTMINSTER,ORANGE,Investor,Comparable,,,109,109,109,60829867,$123646.00,$60953513.00,0.2%,0.2%,"WESTMINSTER, California
(33.759234, -117.987575)"
2010,106430837,O CONNOR HOSPITAL,SANTA CLARA,Non-Profit,Comparable,,,358,260,202,289183253,$1901209.00,$291084462.00,0.7%,0.7%,"SAN JOSE, California
(37.334807, -121.888128)"
2011,106100697,COALINGA REGIONAL MEDICAL CENTER,Fresno,District,Comparable,,Rural,123,116,116,18592811,$60242.00,$18653053.00,0.3%,0.3%,"COALINGA, California
(36.139801, -120.360264)"
2010,106374055,SAN DIEGO COUNTY PSYCHIATRIC HOSPITAL,SAN DIEGO,City/County,LTC Emphasis,,,431,419,357,35955405,$0.00,$35955405.00,0%,0%,"SAN DIEGO, California
(32.71576, -117.163817)"
2010,106190052,BARLOW HOSPITAL,LOS ANGELES,Non-Profit,Comparable,,,105,105,105,45236372,$686829.00,$45923201.00,1.5%,1.5%,"LOS ANGELES, California
(34.052238, -118.243344)"
2010,106410891,SEQUOIA HOSPITAL,SAN MATEO,Non-Profit,Comparable,,,301,156,156,217102349,$3219279.00,$220321628.00,1.5%,1.5%,"REDWOOD CITY, California
(37.484778, -122.22815)"
2011,106344011,SACRAMENTO COUNTY MENTAL HEALTH CENTER-PHF,Sacramento,City/County,Psychiatric Health Facilities,,,50,50,50,12743280,$0.00,$12743280.00,0%,0%,"SACRAMENTO, California
(38.582087, -121.50012)"
2012,106190385,PROVIDENCE HOLY CROSS MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,377,377,315,408295119,$6821380.00,$415116499.00,1.6%,1.7%,"MISSION HILLS, California
(32.7528, -117.186096)"
2011,106190400,HUNTINGTON MEMORIAL HOSPITAL,Los Angeles,Non-Profit,Comparable,,,549,549,324,472077798,$23249339.00,$495327137.00,4.7%,4.9%,"PASADENA, California
(34.14955, -118.141452)"
2012,106250955,SURPRISE VALLEY COMMUNITY HOSPITAL,Modoc,District,Comparable,,Rural,26,26,26,5376680,$589345.00,$5966025.00,9.9%,11%,"CEDARVILLE, California
(41.529563, -120.171912)"
2012,106391010,SAN JOAQUIN GENERAL HOSPITAL,San Joaquin,City/County,Comparable,Teaching,,196,181,151,166741683,$5316379.00,$172058062.00,3.1%,3.2%,"FRENCH CAMP, California
(37.885226, -121.271517)"
2012,106301209,HUNTINGTON BEACH HOSPITAL,Orange,Investor,Comparable,,,131,131,131,48650215,$1925952.00,$50576167.00,3.8%,4%,"HUNTINGTON BEACH, California
(33.659775, -117.999313)"
2011,106361768,PATTON STATE HOSPITAL,San Bernardino,State,State Hospitals,,,1287,1515,1515,383940306,$0.00,$383940306.00,0%,0%,"PATTON, California
(34.135799, -117.223099)"
2010,106540798,SIERRA VIEW DISTRICT HOSPITAL,TULARE,District,Comparable,,,163,163,163,123915046,$1781909.00,$125696955.00,1.4%,1.4%,"PORTERVILLE, California
(36.073039, -119.016146)"
2012,106154101,BAKERSFIELD HEART HOSPITAL,Kern,Investor,Comparable,,,47,47,47,69091767,$721729.00,$69813496.00,1%,1%,"BAKERSFIELD, California
(35.373405, -119.018911)"
2010,106430705,REGIONAL MEDICAL CENTER OF SAN JOSE,SANTA CLARA,Investor,Comparable,,,239,216,216,312652218,$801414.00,$313453632.00,0.3%,0.3%,"SAN JOSE, California
(37.334807, -121.888128)"
2012,106301304,NEWPORT BAY HOSPITAL,Orange,Investor,Comparable,,,34,34,34,10630619,$0.00,$10630619.00,0%,0%,"NEWPORT BEACH, California
(33.615967, -117.930378)"
2011,106454012,NORTHERN CALIFORNIA REHABILITATION HOSPITAL,Shasta,Investor,Comparable,,,88,88,79,38420829,$103506.00,$38524335.00,0.3%,0.3%,"REDDING, California
(40.574637, -122.38109)"
2010,106010782,THUNDER ROAD CHEMICAL DEPENDCY RECOVERY HOSPITAL,ALAMEDA,Non-Profit,Comparable,,,50,50,50,2993837,$1118310.00,$4112147.00,27.2%,37.4%,"OAKLAND, California
(37.804828, -122.27248)"
2011,106211006,MARIN GENERAL HOSPITAL,Marin,Non-Profit,Comparable,,,235,150,150,283743239,$5740779.00,$289484018.00,2%,2%,"GREENBRAE, California
(37.948611, -122.524722)"
2010,106190673,SAN DIMAS COMMUNITY HOSPITAL,LOS ANGELES,Investor,Comparable,,,93,93,93,59887373,$469688.00,$60357061.00,0.8%,0.8%,"SAN DIMAS, California
(34.106678, -117.802753)"
2010,106391042,ST. JOSEPHS MEDICAL CENTER OF STOCKTON,SAN JOAQUIN,Non-Profit,Comparable,,,347,347,347,392369703,$10474095.00,$402843798.00,2.6%,2.7%,"STOCKTON, California
(37.957541, -121.292451)"
2011,106281078,ST. HELENA HOSPITAL,Napa,Non-Profit,Comparable,,,151,116,116,157999203,$4228024.00,$162227227.00,2.6%,2.7%,"ST. HELENA, California
(38.50523, -122.470341)"
2011,106391010,SAN JOAQUIN GENERAL HOSPITAL,San Joaquin,City/County,Comparable,Teaching,,196,181,151,173246195,$6066913.00,$179313108.00,3.4%,-3.5%,"FRENCH CAMP, California
(37.885226, -121.271517)"
2011,106121002,MAD RIVER COMMUNITY HOSPITAL,Humboldt,Investor,Comparable,,,80,46,42,47686150,$1504963.00,$49191113.00,3.1%,3.2%,"ARCATA, California
(40.868186, -124.090548)"
2010,106301357,NEWPORT SPECIALTY HOSPITAL,ORANGE,Investor,Comparable,,,177,109,53,23082698,$272343.00,$23355041.00,1.2%,1.2%,"TUSTIN, California
(33.742072, -117.818805)"
2012,106394003,SAN JOAQUIN COUNTY MENTAL HEALTH - PHF,San Joaquin,City/County,Psychiatric Health Facilities,,,16,16,16,4809225,$0.00,$4809225.00,0%,0%,"STOCKTON, California
(37.957541, -121.292451)"
2010,106184008,BANNER LASSEN MEDICAL CENTER,LASSEN,Non-Profit,Comparable,,Small,38,25,25,41191360,$52260.00,$41243620.00,0.1%,0.1%,"SUSANVILLE, California
(40.415483, -120.648932)"
2010,106434040,LUCILE S PACKARD CHILDRENS HOSPITAL,SANTA CLARA,Non-Profit,Comparable,,,311,311,311,822223063,$40526092.00,$862749155.00,4.7%,4.9%,"PALO ALTO, California
(37.445103, -122.160363)"
2010,106531059,TRINITY HOSPITAL,TRINITY,City/County,Comparable,,Small,51,51,37,11988596,$89790.00,$12078386.00,0.7%,0.7%,"WEAVERVILLE, California
(40.732757, -122.940515)"
2012,106560203,AURORA VISTA DEL MAR HOSPITAL,Ventura,Investor,Comparable,,,87,87,62,18342722,$46920.00,$18389642.00,0.3%,0.3%,"VENTURA, California
(34.280832, -119.293107)"
2011,106130760,PIONEERS MEMORIAL HOSPITAL,Imperial,District,Comparable,,,107,107,107,98617195,$1579760.00,$100196955.00,1.6%,1.6%,"BRAWLEY, California
(32.978688, -115.539429)"
2010,106150736,KERN MEDICAL CENTER,KERN,City/County,Comparable,Teaching,,222,194,169,196877174,$8897934.00,$205775108.00,4.3%,4.5%,"BAKERSFIELD, California
(35.373405, -119.018911)"
2011,106190197,COMMUNITY HOSPITAL OF HUNTINGTON PARK,Los Angeles,Investor,Comparable,,,143,143,143,27111841,$1970814.00,$29082655.00,6.8%,7.3%,"HUNTINGTON PARK, California
(33.979272, -118.219087)"
2010,106301209,HUNTINGTON BEACH HOSPITAL,ORANGE,Investor,Comparable,,,131,131,131,55162370,$392591.00,$55554961.00,0.7%,0.7%,"HUNTINGTON BEACH, California
(33.659775, -117.999313)"
2011,106301097,ANAHEIM GENERAL HOSPITAL,Orange,Investor,Comparable,,,143,126,126,21531008,$186818.00,$21717826.00,0.9%,0.9%,"ANAHEIM, California
(33.834492, -117.915638)"
2011,106190631,PRESBYTERIAN INTERCOMMUNITY HOSPITAL,Los Angeles,Non-Profit,Comparable,,,444,444,218,422224945,$12708663.00,$434933608.00,2.9%,3%,"WHITTIER, California
(33.967318, -118.048051)"
2011,106361458,COLORADO RIVER MEDICAL CENTER,San Bernardino,Investor,Comparable,,Rural,25,25,25,5734568,$190501.00,$5925069.00,3.2%,3.3%,"NEEDLES, California
(34.848419, -114.614002)"
2010,106090793,BARTON MEMORIAL HOSPITAL,EL DORADO,Non-Profit,Comparable,,Small,117,117,117,118898365,$7795508.00,$126693873.00,6.2%,6.6%,"SOUTH LAKE TAHOE, California
(38.941539, -119.977191)"
2010,106370787,PROMISE HOSPITAL OF SAN DIEGO,SAN DIEGO,Investor,Comparable,,,100,100,84,43022570,$5983911.00,$49006481.00,12.2%,13.9%,"SAN DIEGO, California
(32.71576, -117.163817)"
2010,106010987,WASHINGTON HOSPITAL-FREMONT,ALAMEDA,District,Comparable,,,359,320,272,427690213,$3782515.00,$431472728.00,0.9%,0.9%,"FREMONT, California
(37.550195, -121.980829)"
2010,106190555,CEDARS-SINAI MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,Teaching,,958,926,926,2069270858,$219075285.00,$2288346143.00,9.6%,10.6%,"LOS ANGELES, California
(34.052238, -118.243344)"
2011,106370744,SCRIPPS MERCY HOSPITAL,San Diego,Non-Profit,Comparable,Teaching,,698,643,413,580431910,$7688898.00,$588120808.00,1.3%,1.3%,"SAN DIEGO, California
(32.71576, -117.163817)"
2010,106500939,MEMORIAL HOSPITAL OF MODESTO,STANISLAUS,Non-Profit,Comparable,,,423,397,281,541642265,$8244692.00,$549886957.00,1.5%,1.5%,"MODESTO, California
(37.640735, -121.002435)"
2011,106434040,LUCILE S PACKARD CHILDREN'S HOSPITAL AT STANFORD,Santa Clara,Non-Profit,Comparable,Teaching,,311,311,311,843219476,$55566076.00,$898785552.00,6.2%,6.6%,"PALO ALTO, California
(37.445103, -122.160363)"
2012,106190148,CENTINELA HOSPITAL MEDICAL CENTER,Los Angeles,Investor,Comparable,,,369,369,191,267766015,$6991324.00,$274757339.00,2.5%,2.6%,"INGLEWOOD, California
(33.961767, -118.353336)"
2011,106392232,ST. JOSEPH'S BEHAVIORAL HEALTH CENTER,San Joaquin,Non-Profit,Comparable,,,35,35,35,10880801,$3609.00,$10884410.00,0%,0%,"STOCKTON, California
(37.957541, -121.292451)"
2010,106154022,HEALTHSOUTH BAKERSFIELD REGIONAL REHAB HOSPITAL,KERN,Investor,Comparable,,,60,60,58,27191450,$43744.00,$27235194.00,0.2%,0.2%,"BAKERSFIELD, California
(35.373405, -119.018911)"
2011,106190422,TORRANCE MEMORIAL MEDICAL CENTER,Los Angeles,Non-Profit,Comparable,,,401,377,272,426929405,$10187643.00,$437117048.00,2.3%,2.4%,"TORRANCE, California
(33.836318, -118.340038)"
2012,106430883,SANTA CLARA VALLEY MEDICAL CENTER,Santa Clara,City/County,Comparable,Teaching,,574,554,327,843513900,$80339472.00,$923853372.00,8.7%,9.5%,"SAN JOSE, California
(37.334807, -121.888128)"
2011,106430779,GOOD SAMARITAN HOSPITAL - SAN JOSE,Santa Clara,Investor,Comparable,,,429,333,328,489343424,$1024676.00,$490368100.00,0.2%,0.2%,"SAN JOSE, California
(37.334807, -121.888128)"
2011,106331216,JOHN F. KENNEDY MEMORIAL HOSPITAL,Riverside,Investor,Comparable,,,156,156,80,107960124,$3594326.00,$111554450.00,3.2%,3.3%,"INDIO, California
(33.718649, -116.218182)"
2010,106190196,KINDRED HOSPITAL-SOUTH BAY,LOS ANGELES,Investor,Comparable,,,84,84,84,47296257,$26634.00,$47322891.00,0.1%,0.1%,"GARDENA, California
(33.883764, -118.309144)"
2011,106050932,MARK TWAIN ST. JOSEPH'S HOSPITAL,Calaveras,Non-Profit,Comparable,,Rural,48,25,25,38796788,$343160.00,$39139948.00,0.9%,0.9%,"SAN ANDREAS, California
(38.196211, -120.68092)"
2011,106194967,STAR VIEW ADOLESCENT - PHF,Los Angeles,Investor,Psychiatric Health Facilities,,,16,16,16,2733283,$2757702.00,$5490985.00,50.2%,100.9%,"TORRANCE, California
(33.836318, -118.340038)"
2010,106434138,ST. LOUISE REGIONAL HOSPITAL,SANTA CLARA,Non-Profit,Comparable,,,93,70,52,87563882,$320520.00,$87884402.00,0.4%,0.4%,"GILROY, California
(37.006768, -121.568708)"
2011,106554011,SONORA REGIONAL MEDICAL CENTER-GREENLEY,Tuolumne,Non-Profit,Comparable,,Rural,152,152,152,183690264,$6564699.00,$190254963.00,3.5%,3.6%,"SONORA, California
(37.982943, -120.382117)"
2011,106190517,PROVIDENCE TARZANA MEDICAL CENTER,Los Angeles,Investor,Comparable,,,245,245,187,223019358,$2843377.00,$225862735.00,1.3%,1.3%,"TARZANA, California
(34.173302, -118.553101)"
2011,106190784,TEMPLE COMMUNITY HOSPITAL,Los Angeles,Investor,Comparable,,,170,170,130,47469074,$45349.00,$47514423.00,0.1%,0.1%,"LOS ANGELES, California
(34.052238, -118.243344)"
2011,106190470,PROVIDENCE LITTLE COMPANY OF MARY MEDICAL CENTER-TORRANCE,Los Angeles,Non-Profit,Comparable,,,442,418,418,313770521,$8780828.00,$322551349.00,2.7%,2.8%,"TORRANCE, California
(33.836318, -118.340038)"
2010,106190525,LONG BEACH MEMORIAL MEDICAL CENTER,LOS ANGELES,Non-Profit,Comparable,Teaching,,462,462,309,502501357,$4442068.00,$506943425.00,0.9%,0.9%,"LONG BEACH, California
(33.767168, -118.193723)"
2011,106190500,MARINA DEL REY HOSPITAL,Los Angeles,Non-Profit,Comparable,,,90,90,45,94917526,$1153952.00,$96071478.00,1.2%,1.2%,"MARINA DEL REY, California
(33.98384, -118.451422)"
2011,106281047,QUEEN OF THE VALLEY HOSP,Napa,Non-Profit,Comparable,,,191,191,174,236557975,$2967154.00,$239525129.00,1.2%,1.3%,"NAPA, California
(38.297242, -122.289405)"
2010,106301342,ST. JUDE MEDICAL CENTER,ORANGE,Non-Profit,Comparable,,,384,384,316,463363529,$5032914.00,$468396443.00,1.1%,1.1%,"FULLERTON, California
(33.870345, -117.924302)"
2010,106560492,LOS ROBLES REGIONAL MEDICAL CENTER,VENTURA,Investor,Comparable,,,359,277,277,314328361,$680005.00,$315008366.00,0.2%,0.2%,"THOUSAND OAKS, California
(34.176083, -118.848743)"
2011,106341051,SUTTER MEDICAL CENTER - SACRAMENTO,Sacramento,Non-Profit,Comparable,,,754,623,623,813777564,$21277866.00,$835055430.00,2.5%,2.6%,"SACRAMENTO, California
(38.582087, -121.50012)"
2012,106044006,BUTTE COUNTY MENTAL HEALTH - PHF,Butte,City/County,Psychiatric Health Facilities,,,16,16,16,3418989,$0.00,$3418989.00,0%,0%,"CHICO, California
(39.728956, -121.838779)"
2011,106560492,LOS ROBLES HOSPITAL & MEDICAL CENTER,Ventura,Investor,Comparable,,,343,277,277,322271825,$754061.00,$323025886.00,0.2%,0.2%,"THOUSAND OAKS, California
(34.176083, -118.848743)"
2012,106121031,JEROLD PHELPS COMMUNITY HOSPITAL,Humboldt,District,Comparable,,Rural,17,17,17,6444552,$44949.00,$6489501.00,0.7%,0.7%,"GARBERVILLE, California
(40.101491, -123.792756)"
2010,106071018,JOHN MUIR MEDICAL CENTER-CONCORD CAMPUS,CONTRA COSTA,Non-Profit,Comparable,,,269,251,148,325336504,$3964170.00,$329300674.00,1.2%,1.2%,"CONCORD, California
(37.979103, -122.031333)"
2011,106190232,DEL AMO HOSPITAL,Los Angeles,Investor,Comparable,,,166,151,151,32012440,$38294.00,$32050734.00,0.1%,0.1%,"TORRANCE, California
(33.836318, -118.340038)"
2012,106154147,CRESTWOOD PHF - BAKERSFIELD,Kern,Investor,Psychiatric Health Facilities,,,14,14,14,1121386,$114792.00,$1236178.00,9.3%,10.2%,"BAKERSFIELD, California
(35.373405, -119.018911)"
2012,106190449,KINDRED HOSPITAL - LA MIRADA,Los Angeles,Investor,Comparable,,,248,248,248,111521096,$191108.00,$111712204.00,0.2%,0.2%,"LA MIRADA, California
(33.908859, -118.011725)"
2010,106194967,STAR VIEW ADOLESCENT-PHF,LOS ANGELES,Investor,Psychiatric Health Facilities,,,16,16,16,2757784,$2857938.00,$5615722.00,50.9%,103.6%,"TORRANCE, California
(33.836318, -118.340038)"
2012,106190521,MEMORIAL HOSPITAL - GARDENA,Los Angeles,Investor,Comparable,,,172,172,150,124202496,$553967.00,$124756463.00,0.4%,0.4%,"GARDENA, California
(33.883764, -118.309144)"
2010,106300225,ORANGE COAST MEMORIAL MEDICAL CENTER,ORANGE,Non-Profit,Comparable,,,218,218,136,230742086,$1241086.00,$231983172.00,0.5%,0.5%,"FOUNTAIN VALLEY, California
(33.708975, -117.951323)"
